Date,Description,Amount,Balance
02/01/2026,ACME Payroll Direct Deposit,3850.00,5820.08
02/03/2026,Rent Payment Chase Mortgage,-1450.00,4370.08
02/04/2026,Safeway Store #1294,-88.10,4281.98
02/05/2026,Netflix Subscription,-15.49,4266.49
02/08/2026,Spotify Premium,-10.99,4255.50
02/09/2026,Starbucks Cafe,-7.20,4248.30
02/11/2026,Shell Oil Gas Station,-48.00,4200.30
02/13/2026,Amazon.com Retail,-115.60,4084.70
02/14/2026,Uber Ride Toll,-15.40,4069.30
02/17/2026,Comcast Power & Utility,-85.00,3984.30
02/19/2026,Sweetgreen Salad,-15.80,3968.50
02/21/2026,Whole Foods Market,-68.40,3900.10
02/23/2026,Doordash Delivery,-34.50,3865.60
02/25/2026,Playstation Network,-19.99,3845.61
02/27/2026,Starbucks Cafe,-5.80,3839.81
02/28/2026,Monthly Maintenance Fee,-12.00,3827.81
