Date,Description,Amount,Balance
01/01/2026,ACME Payroll Direct Deposit,3850.00,3850.00
01/03/2026,Rent Payment Chase Mortgage,-1450.00,2400.00
01/04/2026,Safeway Store #1294,-92.50,2307.50
01/05/2026,Netflix Subscription,-15.49,2292.01
01/08/2026,Spotify Premium,-10.99,2281.02
01/10/2026,Starbucks Cafe,-6.45,2274.57
01/12/2026,Shell Oil Gas Station,-45.50,2229.07
01/14/2026,Amazon.com Retail,-62.30,2166.77
01/15/2026,Uber Ride Toll,-18.20,2148.57
01/18/2026,Comcast Power & Utility,-85.00,2063.57
01/20/2026,McDonalds Fast Food,-12.50,2051.07
01/22/2026,CVS Pharmacy,-24.80,2026.27
01/26/2026,Steam Games,-29.99,1996.28
01/28/2026,Chipotle Mexican Grill,-14.20,1982.08
01/31/2026,Monthly Maintenance Fee,-12.00,1970.08
